G:\3005.mxp
Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
 2	P	 2	 1	LPAR1	  1	    13701	59,6
 2	P	 2	 1	LPAR1	  2	    13943	59,5
 2	P	 2	 1	LPAR1	  3	    13884	59,6
 2	P	 2	 1	LPAR1	  4	    13846	59,7
 2	P	 2	 1	LPAR1	  5	    13788	59,6
 2	P	 2	 1	LPAR1	  6	    13873	59,6
 2	P	 2	 1	LPAR1	  7	    13806	59,6
 2	P	 2	 1	LPAR1	  8	    13714	59,6
 2	P	 2	 1	LPAR1	  9	    13675	59,6
 2	P	 2	 1	LPAR1	 10	    13809	59,6
 2	P	 2	 1	LPAR1	 11	    13902	59,6
 2	P	 2	 1	LPAR1	 12	    13724	59,7
 2	P	 2	 1	LPAR1	 13	    13768	59,6
 2	P	 2	 1	LPAR1	 14	    13748	59,6
 2	P	 2	 1	LPAR1	 15	    13863	59,6
 2	P	 2	 1	LPAR1	 16	    13709	59,7
 2	P	 2	 1	LPAR1	 17	    13761	59,6
 2	P	 2	 1	LPAR1	 18	    13926	59,6
 2	P	 2	 1	LPAR1	 19	    13720	59,7
 2	P	 2	 1	LPAR1	 20	    13859	59,6
 2	P	 2	 1	LPAR1	 21	    13673	59,7
 2	P	 2	 1	LPAR1	 22	    13827	59,6
 2	P	 2	 1	LPAR1	 23	    13766	59,6
 2	P	 2	 1	LPAR1	 24	    13958	59,7
 2	P	 2	 1	LPAR1	 25	    14091	59,6
 2	P	 2	 1	LPAR1	 26	    13952	59,7
 2	P	 2	 1	LPAR1	 27	    14351	59,7
 2	P	 2	 1	LPAR1	 28	    14977	59,6
 2	P	 2	 1	LPAR1	 29	    16165	59,7
 2	P	 2	 1	LPAR1	 30	    18361	59,7
 2	P	 2	 1	LPAR1	 31	    22586	59,7
 2	P	 2	 1	LPAR1	 32	    29676	59,6
 2	P	 2	 1	LPAR1	 33	    40065	59,6
 2	P	 2	 1	LPAR1	 34	    47656	59,7
 2	P	 2	 1	LPAR1	 35	    51593	59,6
 2	P	 2	 1	LPAR1	 36	    53645	59,6
 2	P	 2	 1	LPAR1	 37	    54921	59,6
 2	P	 2	 1	LPAR1	 38	    55818	59,7
 2	P	 2	 1	LPAR1	 39	    56322	59,6
 2	P	 2	 1	LPAR1	 40	    56847	59,7
 2	P	 2	 2	LPAR1	  1	    13491	59,6
 2	P	 2	 2	LPAR1	  2	    13389	59,5
 2	P	 2	 2	LPAR1	  3	    13339	59,6
 2	P	 2	 2	LPAR1	  4	    13399	59,7
 2	P	 2	 2	LPAR1	  5	    13455	59,6
 2	P	 2	 2	LPAR1	  6	    13423	59,6
 2	P	 2	 2	LPAR1	  7	    13342	59,6
 2	P	 2	 2	LPAR1	  8	    13426	59,6
 2	P	 2	 2	LPAR1	  9	    13457	59,6
 2	P	 2	 2	LPAR1	 10	    13359	59,6
 2	P	 2	 2	LPAR1	 11	    13416	59,6
 2	P	 2	 2	LPAR1	 12	    13323	59,7
 2	P	 2	 2	LPAR1	 13	    13411	59,6
 2	P	 2	 2	LPAR1	 14	    13430	59,6
 2	P	 2	 2	LPAR1	 15	    13467	59,6
 2	P	 2	 2	LPAR1	 16	    13529	59,7
 2	P	 2	 2	LPAR1	 17	    13708	59,6
 2	P	 2	 2	LPAR1	 18	    13398	59,6
 2	P	 2	 2	LPAR1	 19	    13475	59,7
 2	P	 2	 2	LPAR1	 20	    13551	59,6
 2	P	 2	 2	LPAR1	 21	    13362	59,7
 2	P	 2	 2	LPAR1	 22	    13324	59,6
 2	P	 2	 2	LPAR1	 23	    13507	59,6
 2	P	 2	 2	LPAR1	 24	    13580	59,7
 2	P	 2	 2	LPAR1	 25	    13591	59,6
 2	P	 2	 2	LPAR1	 26	    13803	59,7
 2	P	 2	 2	LPAR1	 27	    14034	59,7
 2	P	 2	 2	LPAR1	 28	    14789	59,6
 2	P	 2	 2	LPAR1	 29	    15893	59,7
 2	P	 2	 2	LPAR1	 30	    18348	59,7
 2	P	 2	 2	LPAR1	 31	    22705	59,7
 2	P	 2	 2	LPAR1	 32	    29714	59,6
 2	P	 2	 2	LPAR1	 33	    39564	59,6
 2	P	 2	 2	LPAR1	 34	    46805	59,7
